,UNITID,INSTNM,IALIAS,ADDR,CITY,STABBR,ZIP,FIPS,OBEREG,CHFNM,CHFTITLE,GENTELE,EIN,UEIS,OPEID,OPEFLAG,WEBADDR,ADMINURL,FAIDURL,APPLURL,NPRICURL,VETURL,ATHURL,DISAURL,SECTOR,ICLEVEL,CONTROL,HLOFFER,UGOFFER,GROFFER,HDEGOFR1,DEGGRANT,HBCU,HOSPITAL,MEDICAL,TRIBAL,LOCALE,OPENPUBL,ACT,NEWID,DEATHYR,CLOSEDAT,CYACTIVE,POSTSEC,PSEFLAG,PSET4FLG,RPTMTH,INSTCAT,C21BASIC,C21IPUG,C21IPGRD,C21UGPRF,C21ENPRF,C21SZSET,C18BASIC,C15BASIC,CCBASIC,CARNEGIE,LANDGRNT,INSTSIZE,F1SYSTYP,F1SYSNAM,F1SYSCOD,CBSA,CBSATYPE,CSA,COUNTYCD,COUNTYNM,CNGDSTCD,LONGITUD,LATITUDE,DFRCGID,DFRCUSCG
35,101693,University of Mobile,University of Mobile,5735 College Parkway,Mobile,AL,36613-2842,1,5,Dr. Lonnie Burnett,President,2516755990,630417508, ,00102900,1,www.umobile.edu/,umobile.edu/undergraduate-admissions/,https://umobile.edu/financial-aid/,umobile.edu/apply/,umobile.edu/financial-aid/cost-calculator/,umobile.edu/veterans-affairs/,https://umobile.edu/studentachievement,catalog.umobile.edu/content.php?catoid=10&navoid=726#Americans_with_Disabilities_Act,2,1,2,9,1,1,12,1,2,2,2,2,41,1,A ,-2,-2,-2,1,1,1,1,1,2,20,13,8,13,4,11,22,22,22,21,2,2,2,-2,-2,33660,1,380,1097,Mobile County,101,-88.128934,30.793247,124,1
36,101709,University of Montevallo, ,Station 6001,Montevallo,AL,35115-6000,1,5,John W. Stewart III,President,2056656155,636000720,EK1MGM1G5M25,00100400,1,www.montevallo.edu/,www.montevallo.edu/admissions/,https://www.montevallo.edu/admissions-aid/,https://www.montevallo.edu/admissions/,https://www.montevallo.edu/NetPriceCalculator/,www.montevallo.edu/about-um/administration/enrollment-and-student-affairs/veterans-affairs/,https://montevallofalcons.com/sports/2016/9/20/compliance.aspx,https://www.montevallo.edu/campus-life/student-services/disability-support-services/,1,1,1,8,1,1,20,1,2,2,2,2,21,1,A ,-2,-2,-2,1,1,1,1,1,2,19,13,6,11,3,11,19,19,19,21,2,2,2,-2,-2,13820,1,142,1117,Shelby County,106,-86.865099,33.10625,116,2
37,101736,Northwest-Shoals Community College, ,800 George Wallace Blvd,Muscle Shoals,AL,35661,1,5,Jeff Goodwin,President,2563315200,630513822, ,00569700,1,https://www.nwscc.edu/,https://www.nwscc.edu/about-nw-scc/college-departments/student-services/admissions,https://www.nwscc.edu/about-nw-scc/college-departments/student-services/financial-aid,www.nwscc.edu/about-nw-scc/college-departments/student-services/admissions/apply-online,nwscc.edu/admissions/tuition-fees/, , ,www.nwscc.edu/about-nw-scc/policies/disability/,4,2,1,3,1,2,40,1,2,-2,2,2,13,1,A ,-2,-2,-2,1,1,1,1,1,4,8,3,0,1,1,2,5,7,2,40,2,2,1,Alabama Community College System,101030,22520,1,-2,1033,Colbert County,104,-87.678089,34.739788,81,2
38,101879,University of North Alabama,UNA,One Harrison Plaza,Florence,AL,35632-0001,1,5,Kenneth D. Kitts,President,2567654100,636000893,MEMJEJHP6KZ6,00101600,1,www.una.edu/,www.una.edu/admission,www.una.edu/financial-aid/index.html,https://www.applyweb.com/aw?una,studentnpc.collegeboard.org/,www.una.edu/veterans/gi-bill-information.html,https://www.una.edu/research/Live Documents/Old Documents/Final report GRS 2017.pdf,www.una.edu/disability-support/,1,1,1,9,1,1,12,1,2,2,2,2,13,1,A ,-2,-2,-2,1,1,1,1,1,2,18,16,7,11,4,13,18,18,18,21,2,3,2,-2,-2,22520,1,-2,1077,Lauderdale County,105,-87.680407,34.80731,106,1
39,101897,Northeast Alabama Community College,"Northeast, NACC, Northeast Alabama State Junior College, Northeast Alabama State Community College",138  Highway 35,Rainsville,AL,35986,1,5,J. David Campbell,President,25663844182201,630504999,XD6KBBVVKRT6,00103100,1,https://www.nacc.edu/,https://www.nacc.edu/admission-financial-aid/admissions,https://www.nacc.edu/admission-financial-aid/financial-aid,https://northeastalabama.force.com/apply/TX_SiteLogin?startURL=%2Fapply%2FTargetX_Portal__PB,https://www.nacc.edu/Content/Uploads/NACC/files/Financial Aid/net-price-calc/npcalc.html,https://www.nacc.edu/admission-financial-aid/financial-aid/veterans-benefits,https://www.nacc.edu/admission-financial-aid/financial-aid/consumer-information,https://www.nacc.edu/admission-financial-aid/admissions/disability-services,4,2,1,3,1,2,40,1,2,-2,2,2,42,1,A ,-2,-2,-2,1,1,1,1,1,4,5,2,0,1,1,2,5,7,2,40,2,2,1,Alabama Community College System,101030,42460,2,497,1071,Jackson County,105,-85.911664,34.545471,72,2
40,101912,Oakwood University,OU,7000 Adventist Blvd NW,Huntsville,AL,35896,1,5,Leslie Pollard,President,2567267000,630366652,Z12GHW4MWNG8,00103300,1,https://www2.oakwood.edu/,https://my.oakwood.edu/ICS/Admissions/,www2.oakwood.edu/financial-aid/,https://my.oakwood.edu/ICS/Admissions/,https://oakwood.studentaidcalculator.com/, , ,www2.oakwood.edu/life-at-oakwood/disability-support-services/,2,1,2,8,1,1,20,1,1,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,2,21,13,3,10,3,11,22,22,22,32,2,2,2,-2,-2,26620,1,290,1089,Madison County,105,-86.652705,34.756344,131,2
41,101994,Reid State Technical College, ,100 and Hwy 83,Evergreen,AL,36401,1,5,Dr. Coretta Boykin,President,2515781313,630510731,XFJMF8V263K7,00569200,1,www.rstc.edu/,https://www.rstc.edu/admissions,https://www.rstc.edu/financialaid,reidstate.force.com/apply/TX_SiteLogin?startURL=%2Fapply%2FTargetX_Portal__PB,images.pcmac.org/Uploads/ReidStateTech/ReidStateTech/Divisions/DocumentsCategories/Documents/index_{SIS703AD5AB07EA}.html, , ,www.rstc.edu/adacompliance,4,2,1,3,1,2,40,1,2,-2,2,2,41,1,A ,-2,-2,-2,1,1,1,1,1,4,7,3,0,1,1,1,8,8,1,40,2,1,1,Alabama Community College System,101030,-2,-2,-2,1035,Conecuh County,102,-86.964797,31.460265,78,2
42,102030,Bishop State Community College, ,351 North Broad Street,Mobile,AL,36603-5898,1,5,Olivier Charles,President,2514057000,630507477,WTDUAMTURGC5,00103000,1,www.bishop.edu/,https://www.bishop.edu/admissions/,https://www.bishop.edu/financial-affairs/office-of-financial-aid/,https://www.bishop.edu/new-students/apply-now,https://www.bishop.edu/assets/uploads/pages/Net-Price-Calculator-2020.html,https://www.bishop.edu/financial-affairs/office-of-financial-aid, ,https://www.bishop.edu/student-services/ada-accommodations,4,2,1,3,1,2,40,1,1,-2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,4,8,3,0,1,1,2,8,8,7,40,2,2,1,Alabama Community College System,101030,33660,1,380,1097,Mobile County,101,-88.056982,30.693972,81,1
43,102049,Samford University, ,800 Lakeshore Drive,Birmingham,AL,35229-2240,1,5,Dr. Beck Taylor,President,2057262011,630312914,W3NJNTKTT6S3,00103600,1,www.samford.edu/,www.samford.edu/admission,www.samford.edu/departments/financial-services/,www.samford.edu/admission/apply,https://www.samford.edu/admission/net-price-calculator,www.samford.edu/departments/financial-services/veterans,www.samford.edu/athletics/,www.samford.edu/departments/disability-resources/,2,1,2,9,1,1,11,1,2,2,2,2,21,1,A ,-2,-2,-2,1,1,1,1,1,2,17,16,12,12,5,14,17,18,19,21,2,3,2,-2,-2,13820,1,142,1073,Jefferson County,106,-86.791799,33.464128,99,1
44,102058,Selma University, ,"1501 Boynton St, Dinkins Hall",Selma,AL,36701,1,5,Stanford Angion,President,3345261718104,630367461,SKNFHGB4MWW5,04067300,5,https://selmauniversity.edu/, , , ,https://selmauniversity.edu/,https://selmauniversity.edu/academics, ,https://www.selmauniversity.edu/,2,1,2,7,1,1,20,1,1,2,2,2,32,1,A ,-2,-2,-2,1,1,1,2,1,2,-2,-2,-2,-2,-2,-2,24,24,24,-2,2,1,2,-2,-2,42820,2,388,1047,Dallas County,107,-87.032392,32.420387,-1,-1
45,102067,Shelton State Community College, ,9500 Old Greensboro Rd,Tuscaloosa,AL,35405-8522,1,5,Dr. Chris Cox,President,2053912211,636002149,K9YRPQSCRHG6,00569100,1,www.sheltonstate.edu/,www.sheltonstate.edu/admissions-financial-aid/,www.sheltonstate.edu/admissions-financial-aid/financial-aid/,www.sheltonstate.edu/admissions-financial-aid/becoming-a-student/,apps.sheltonstate.edu/netpricecalculator/npcalc.htm,www.sheltonstate.edu/admissions-financial-aid/veterans-resource-center/,www.sheltonstate.edu/about-us/institutional-effectiveness/athlete-success-rate/,www.sheltonstate.edu/instruction-workforce-development/instruction-services-resources/disability-services/,4,2,1,3,1,2,40,1,1,-2,2,2,13,1,A ,-2,-2,-2,1,1,1,1,1,4,8,3,0,2,1,3,7,8,3,40,2,2,1,Alabama Community College System,101030,46220,1,-2,1125,Tuscaloosa County,107,-87.56148,33.120531,80,1
46,102076,Snead State Community College, ,102 Elder Street,Boaz,AL,35957-0734,1,5,Mr. Joe Whitmore,President,2565935120,630521412,DKDNTKSQ94U5,00103800,1,www.snead.edu/,snead.edu/admissions,snead.edu/tuition-aid/,snead.edu/admissions,snead.edu/tuition-aid/net_price_calculator/,snead.edu/admissions/military/,www.snead.edu/athletics.aspx,snead.edu/student-life/accessibility-services/,4,2,1,3,1,2,40,1,2,-2,2,2,32,1,A ,-2,-2,-2,1,1,1,1,1,4,3,1,0,2,1,2,2,1,2,40,2,2,1,Alabama Community College System,101030,10700,2,-2,1095,Marshall County,104,-86.169897,34.201495,66,1
47,102094,University of South Alabama, ,307 N University Blvd,Mobile,AL,36688-0002,1,5,Jo Bonner,President,2514606101,630477348,QB12VPNQQFE8,00105700,1,www.southalabama.edu/,www.southalabama.edu/departments/admissions/,www.southalabama.edu/departments/finaid/,www.southalabama.edu/departments/admissions/applytousa.html,www.southalabama.edu/departments/finaid/netpricecalculator/,www.southalabama.edu/departments/registrar/registration/residency.html,usajaguars.com/documents/2022/8/11/2021-22_Federal_Graduation_Rate_Report.pdf,www.southalabama.edu/departments/sds/,1,1,1,9,1,1,11,1,2,1,1,2,12,1,A ,-2,-2,-2,1,1,1,1,1,2,16,16,18,13,5,16,16,16,16,16,2,4,2,-2,-2,33660,1,380,1097,Mobile County,101,-88.178711,30.696033,95,1
48,102234,Spring Hill College,Springhill|Springhill College|SHC|the Hill,4000 Dauphin St,Mobile,AL,36608-1791,1,5,Joe Lee,President,2513804000,630302179,GBWXP7UH5WG2,00104100,1,https://www.shc.edu/,https://www.shc.edu/admissions-aid/admissions/,https://www.shc.edu/admissions-aid/tuition-financial-aid/,https://www.shc.edu/admissions-aid/admissions/apply/,https://www.shc.edu/admissions-aid/tuition-financial-aid/net-price-calculator/,https://www.shc.edu/admissions/tuition-and-aid/types-aid/military-and-veterans-benefits/,data.shc.edu/home-page/institutional-research/athlete-srtk-disclosure,www.shc.edu/academics/academic-information-resources/disability-services/,2,1,2,8,1,1,20,1,2,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,2,22,13,7,12,3,11,21,21,20,21,2,2,2,-2,-2,33660,1,380,1097,Mobile County,101,-88.138199,30.694751,137,1
49,102270,Stillman College, ,3601 Stillman Boulevard,Tuscaloosa,AL,35401,1,5,Cynthia Warrick,President,2053494240,630315935, ,00104400,1,https://stillman.edu/,https://stillman.edu/admissions/,https://stillman.edu/admissions/financial-aid/,https://stillmancollege.liaisoncas.com/applicant-ux/#/login,https://stillman.edu/admissions/cost-of-attendance/,https://stillman.edu/about-us/steam-center-va-resource/, ,https://stillman.edu/about-us/help/,2,1,2,5,1,2,30,1,1,2,2,2,13,1,A ,-2,-2,-2,1,1,1,1,1,2,22,12,0,13,2,8,21,21,21,32,2,1,2,-2,-2,46220,1,-2,1125,Tuscaloosa County,107,-87.585278,33.200006,138,2
50,102298,Talladega College, ,627 West Battle Street,Talladega,AL,35160,1,5,Dr. Gregory Vincent,President,2567616100,630288870,Q9D9V1H5J547,00104600,1,www.talladega.edu/,https://www.talladega.edu/apply-for-admissions/,https://www.talladega.edu/financial-aid/,www.talladega.edu/apply-for-admissions/,www.talladega.edu/netcalc/npcalc.htm, , ,www.talladega.edu/studentlife/ccps.asp,2,1,2,7,1,1,20,1,1,2,2,2,32,1,A ,-2,-2,-2,1,1,1,1,1,2,22,12,3,11,3,11,21,22,21,31,2,1,2,-2,-2,45180,2,142,1121,Talladega County,103,-86.112704,33.433472,136,2
51,102313,H Councill Trenholm State Community College,Trenholm State,1225 Air Base Blvd,Montgomery,AL,36108-3199,1,5,Dr. Kemba Chambers,President,3344204200,630510750,EXR7NDKHRW57,00573400,1,www.trenholmstate.edu/,www.trenholmstate.edu/future-students/admissions/apply-now/,www.trenholmstate.edu/future-students/financial-aid/,trenholmstate.force.com/apply/TX_SiteLogin?startURL=%2Fapply%2FTargetX_Portal__PB,www.trenholmstate.edu/net-price-calculator/,https://www.trenholmstate.edu/uploads/catalog/2020-21_College_Catalog-Student_Handbook_Combined_8-1-2020.pdf, ,www.trenholmstate.edu/current-students/students-with-disabilities/,4,2,1,3,1,2,40,1,1,-2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,4,7,3,0,2,1,2,7,8,1,40,2,2,1,Alabama Community College System,101030,33860,1,388,1101,Montgomery County,107,-86.343057,32.350109,78,2
52,102368,Troy University,TROY,University Avenue,Troy,AL,36082-0001,1,5,"Dr. Jack Hawkins, Jr.",Chancellor,3346703100,636001102,NWQTQ4Q91NW5,00104700,1,www.troy.edu/,www.troy.edu/applications-admissions/index.html,www.troy.edu/scholarships-costs-aid/financial-aid/index.html,www.troy.edu/applications-admissions/index.html,www.troy.edu/net-price-calculator/index.html,www.troy.edu/military-veterans/,www.troy.edu/about-us/offices-departments/institutional-research-planning-effectiveness/fact-site/graduation-reports.html,www.troy.edu/student-disability-services/index.html,1,1,1,9,1,1,11,1,2,2,2,2,33,1,A ,-2,-2,-2,1,1,1,1,1,2,18,13,13,7,4,15,18,18,18,21,2,4,2,-2,-2,45980,2,-2,1109,Pike County,102,-85.95802,31.799583,104,1
53,102377,Tuskegee University, ,"Kresge Center, 3rd Floor",Tuskegee,AL,36088-1920,1,5,Dr. Charlotte P. Morris,President,3347278011,630288878,U9JCYEXFEEU4,00105000,1,www.tuskegee.edu/,https://www.tuskegee.edu/admissions,https://www.tuskegee.edu/admissions-aid,www.applyweb.com/apply/tusk/,npc.collegeboard.org/app/tuskegee?iframe=true, ,https://www.tuskegee.edu/Content/Uploads/Tuskegee/files/Academics/Registrar/FERPA.pdf,https://www.tuskegee.edu/student-life/wellness-center-counseling,2,1,2,9,1,1,11,1,1,2,1,2,32,1,A ,-2,-2,-2,1,1,1,1,1,2,19,16,17,10,4,11,19,20,22,21,1,2,2,-2,-2,-2,-2,-2,1087,Macon County,103,-85.708492,32.4309,117,1
54,102395,United States Sports Academy,The Academy America's Sports University,One Academy Drive,Daphne,AL,36526-7055,1,5,Dr. Thomas J. Rosandich,President/CEO,25162633037151,630771624,EFN3J6Y6UJ37,02170600,1,www.ussa.edu/,ussa.edu/admissions/,https://ussa.edu/admissions/financial-aid/,https://ussa.edu/admissions/apply/,https://ussa.edu/admissions/net-price-calculator/,ussa.edu/admissions/military-assistance/, ,ussa.edu/consumer-information/americans-with-disabilities-act/,2,1,2,9,1,1,14,1,2,2,2,2,13,1,A ,-2,-2,-2,1,1,1,1,3,2,32,20,8,5,6,6,32,32,32,59,2,1,2,-2,-2,19300,1,380,1003,Baldwin County,101,-87.91163,30.639329,171,2
55,102429,Bevill State Community College, ,1411 Indiana Avenue,Jasper,AL,35501,1,5,Dr. Joel Hagood,President,2053870511,631102108,QFFCJG7MKFK5,00573300,1,www.bscc.edu/,www.bscc.edu/students,www.bscc.edu/students/financial-aid,https://www.bscc.edu/students/apply-online,www.bscc.edu/Content/Uploads/bscc.edu/files/BSCCNetPriceCalculator.html,www.bscc.edu/students/financial-aid/veterans,www.bscc.edu/about/consumer-student-information,www.bscc.edu/students/current-students/student-ada-accommodations,4,2,1,3,1,2,40,1,2,-2,2,2,32,1,A ,-2,-2,-2,1,1,1,1,1,4,8,3,0,1,1,2,8,8,2,40,2,2,1,Alabama Community College System,101030,27530,2,142,1127,Walker County,104,-87.266406,33.836929,81,1
56,102553,University of Alaska Anchorage,UAA,3211 Providence Drive,Anchorage,AK,99508,2,8,Sean Parnell,Chancellor,9077861800,926000147,DZFJT2KH9C43,01146200,1,www.uaa.alaska.edu/,www.uaa.alaska.edu/admissions/,www.uaa.alaska.edu/financialaid/,uaonline.alaska.edu/,www.uaa.alaska.edu/financialaid/customcf/npcalc.htm,https://www.uaa.alaska.edu/students/veterans/,https://web3.ncaa.org/aprsearch/asrsearch,www.uaa.alaska.edu/students/disability-support-services/,1,1,1,9,1,1,11,1,2,2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,1,2,18,16,16,5,3,12,18,18,18,21,2,4,1,University of Alaska System of Higher Education,102010,11260,1,-2,2020,Anchorage Municipality,200,-149.82619,61.190163,106,1
57,102580,Alaska Bible College, ,248 E Elmwood Ave,Palmer,AK,99645,2,8,David Ley,President,9077453201,943255546,WL7FCLFZNUN3,00884300,1,www.akbible.edu/,www.akbible.edu/admissions,www.akbible.edu/admissions/tuition-aid/financial-aid/,www.akbible.edu/admissions/degree-program-application/,www.akbible.edu/admissions/tuition-aid/net-price-calculator/, , ,www.akbible.edu/admissions/admissions-policies/,2,1,2,5,1,2,30,1,2,2,2,2,32,1,A ,-2,-2,-2,1,1,1,1,1,2,24,18,0,7,2,7,24,24,-2,-2,2,1,2,-2,-2,11260,1,-2,2170,Matanuska-Susitna Borough,200,-149.111972,61.598553,144,2
58,102614,University of Alaska Fairbanks,UAF,1731 South Chandalar Drive,Fairbanks,AK,99775,2,8,Daniel M. White,Chancellor,9074747034,926000147,FDLEQSJ8FF63,00106300,1,www.uaf.edu/,www.uaf.edu/admissions/,www.uaf.edu/finaid/,uaf.edu/admissions/apply/#now,uaf.edu/finaid/costs/net-price-calculator.php,www.uaf.edu/veterans/, ,www.uaf.edu/disability/,1,1,1,9,1,1,12,1,2,2,2,2,23,1,A ,-2,-2,-2,1,1,1,1,1,2,16,14,15,5,4,12,16,16,16,16,1,3,1,University of Alaska System of Higher Education,102010,21820,1,-2,2090,Fairbanks North Star Borough,200,-147.823146,64.85756,96,1
59,102632,University of Alaska Southeast, ,11066 Auke Lake Way,Juneau,AK,99801-8697,2,8,Karen Carey,Chancellor,8774654827,926000147,YYFJATK1HMJ7,00106500,1,www.uas.alaska.edu/,www.uas.alaska.edu/apply/,www.uas.alaska.edu/financial_aid/,uas.alaska.edu/apply/steps/,uas.alaska.edu/apply/cost-calculator.html,www.uas.alaska.edu/veterans/, ,www.uas.alaska.edu/dss/,1,1,1,8,1,1,20,1,2,2,2,2,33,1,A ,-2,-2,-2,1,1,1,1,1,3,19,16,9,5,4,6,19,19,20,21,2,2,1,University of Alaska System of Higher Education,102010,27940,2,-2,2110,Juneau City and Borough,200,-134.638255,58.384846,193,1
60,102669,Alaska Pacific University, ,4101 University Dr,Anchorage,AK,99508,2,8,Dr. Janelle Vanasse,President,9075611266,920023588,GMQQTDPMJJA7,00106100,1,www.alaskapacific.edu/,www.alaskapacific.edu/admissions/,www.alaskapacific.edu/apply/financial-aid/,https://applicant.alaskapacific.edu/undergraduate/login.asp,https://npc.collegeboard.org/student/app/alaskapacific,www.alaskapacific.edu/student-financial-services/financial-aid/scholarships-resources, ,https://www.alaskapacific.edu/disability-support-services/,2,1,2,9,1,1,13,1,2,2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,1,2,22,16,7,11,5,7,20,20,20,21,2,1,2,-2,-2,11260,1,-2,2020,Anchorage Municipality,200,-149.804168,61.190968,140,1
61,102711,Alaska Vocational Technical Center,AVTEC,PO Box 889,Seward,AK,99664-0889,2,8,Cathy LeCompte,Director,9072243322,926001185,JAGMZ8UFLZR7|MTBJSJRGJTA8,03160300,1,www.avtec.edu/, , ,www.avtec.edu/,www.avtec.edu/net-price-calculator, , ,www.avtec.edu/,7,3,1,2,1,2,0,2,2,-2,2,2,43,1,A ,-2,-2,-2,1,1,1,1,2,6,-2,-2,-2,-2,-2,-2,-2,10,-2,-2,2,1,2,-2,-2,-2,-2,-2,2122,Kenai Peninsula Borough,200,-149.444487,60.110626,209,2
62,102845,Charter College, ,"17200 S.E. Mill Plain Boulevard, Suite 100",Vancouver,WA,98683-7575,53,8,Dr. Heather Allen,Director of Regulatory Affairs,3604482000,550880289,R819CB5DE8E4|HJ86RCGMMV54|ZDTLGF3A3N43|CJDZBP9RM1C5|SZLWFCD2MT13|GP27NZCXJCT1|SGSFXAVRJFZ8|CHJRCGUNAFD7|M62ABZFL9V24|LLA5TZ5VL1Y7|XMXBMXJRNRZ5|UW39G53X5R65,02576900,1,https://chartercollege.edu/,https://chartercollege.edu/,https://chartercollege.edu/,https://chartercollege.edu/,https://chartercollege.studentaidcalculator.com/survey.aspx,https://www.chartercollege.edu/militaryintegrity, ,https://www.chartercollege.edu/student-consumer-information,3,1,3,5,1,2,30,1,2,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,3,3,23,5,0,10,2,9,23,23,23,40,2,2,1,Prospect Education,303830,38900,1,440,53011,Clark County,5303,-122.494766,45.617798,195,2
63,103501,Alaska Career College, ,1415 E Tudor Road,Anchorage,AK,99507-1033,2,8,Jennifer A. Deitz,President,9075637575,920106326,HWUHQC65XSC8,02541000,1,www.alaskacareercollege.edu/,www.alaskacareercollege.edu/,www.alaskacareercollege.edu/,www.alaskacareercollege.edu/,www.alaskacareercollege.edu/tuition-calculator, , ,www.alaskacareercollege.edu/,6,2,3,3,1,2,40,1,2,-2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,2,4,13,4,0,4,1,1,13,13,-2,-2,2,1,2,-2,-2,11260,1,-2,2020,Anchorage Municipality,200,-149.856954,61.181443,185,2
64,103529,University of Alaska System of Higher Education,University of Alaska System Office,"2025 Yukon Drive, Suite 202 Butrovich Building",Fairbanks,AK,99775-5000,2,8,Pat Pitney,President,9074508000,926000147,KNP1HA2B9BF8,00800500,2,www.alaska.edu/, , , , ,www.alaska.edu/studentservices/military/, ,www.alaska.edu/,0,1,1,9,1,1,12,1,2,-2,-2,2,23,1,A ,-2,-2,-2,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,1,University of Alaska System of Higher Education,102010,21820,1,-2,2090,Fairbanks North Star Borough,200,-147.848969,64.857516,-2,-2
65,103741,Empire Beauty School-Tucson, ,3030 E Speedway Blvd,Tucson,AZ,85716,4,6,Franklin K. Schoeneman,Chairman/CEO,8009204593,208939053,TFVZANEMNYG7,00966403,1,www.empire.edu/,www.empire.edu/,www.empire.edu/,www.empire.edu/apply-now,www.empire.edu/net-price-calculator, , ,www.empire.edu/,9,3,3,2,1,2,0,2,2,-2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,2,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,1,EEG Inc.,301640,46060,1,536,4019,Pima County,402,-110.927187,32.235657,24,2
66,103893,Carrington College-Phoenix North,Carrington College Phoenix - Formerly Apollo College - Phoenix,2149 W Dunlap Avenue,Phoenix,AZ,85051-4063,4,6,Mitch Charles,President,6023935900,860498134,DH8NTDVRQPP8,02100600,1,https://carrington.edu/, ,https://carrington.edu/financial-aid/, ,https://carrington.edu/financial-aid/how-much-will-it-cost/,https://carrington.edu/financial-aid/military-education-benefits/,https://docs.carrington.edu/forms/student-consumer-information/carrington-student-rights-to-know-disclosures.pdf,https://carrington.edu/student-disability-accommodation/,6,2,3,3,1,2,40,1,2,-2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,2,4,10,4,0,4,1,2,10,10,10,-2,2,2,1,San Joaquin Valley College Inc.,304180,38060,1,429,4013,Maricopa County,409,-112.104601,33.565758,175,1
67,103909,Carrington College-Mesa, ,1001 West Southern Avenue,Mesa,AZ,85210-5005,4,6,Mitch Charles,President,4807342378,860498134,M3JKLFRCTE77,02100611,1,https://carrington.edu/, ,https://carrington.edu/financial-aid/, ,https://carrington.edu/financial-aid/how-much-will-it-cost/,https://carrington.edu/financial-aid/military-education-benefits/,https://docs.carrington.edu/forms/student-consumer-information/carrington-student-rights-to-know-disclosures.pdf,https://carrington.edu/student-disability-accommodation/,6,2,3,3,1,2,40,1,2,-2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,2,4,10,4,0,4,1,2,10,10,-2,-2,2,1,1,San Joaquin Valley College Inc.,304180,38060,1,429,4013,Maricopa County,409,-111.853218,33.39248,176,1
68,103927,Carrington College-Tucson, ,201 North Bonita Avenue,Tucson,AZ,85745-2974,4,6,Mitch Charles,President,5203683028,860498134,DH8NTDVRQPP8,02100607,1,https://carrington.edu/, ,https://carrington.edu/financial-aid/, ,https://carrington.edu/financial-aid/how-much-will-it-cost/,https://carrington.edu/financial-aid/military-education-benefits/,https://docs.carrington.edu/forms/student-consumer-information/carrington-student-rights-to-know-disclosures.pdf,https://carrington.edu/student-disability-accommodation/,6,2,3,3,1,2,40,1,2,-2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,2,4,10,4,0,4,1,1,-2,10,-2,-2,2,1,1,San Joaquin Valley College Inc.,304180,46060,1,536,4019,Pima County,403,-110.983056,32.224391,177,1
69,103954,Arizona Academy of Beauty, ,5631 E Speedway Blvd,Tucson,AZ,85712,4,6,Carey White,Vice President/Owner,5208854120,860178896,PX83QQH41XJ5,00886400,1,www.arizonaacademy.com/,www.arizonaacademy.com/,www.arizonaacademy.com/,www.arizonaacademy.com/,www.arizonaacademy.com/net-price-calculator.html,www.arizonaacademy.com/,https://www.arizonaacademy.com/,www.arizonaacademy.com/,9,3,3,2,1,2,0,2,2,-2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,2,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,2,-2,-2,46060,1,536,4019,Pima County,402,-110.872305,32.237253,43,2
70,103963,Miller-Motte College-Arizona Automotive Institute,AAI,6829 N 46th Ave,Glendale,AZ,85301-3579,4,6,Lauren Marocco,Executive Director,6239347273,461749258,Z514KYMFR745,02306807,1,www.aai.edu/,www.aai.edu/admissions,www.aai.edu/student-financial-aid, ,www.aai.edu/NetPrice/aai/, , ,https://www.aai.edu/consumer-info/,6,2,3,3,1,2,40,1,2,-2,2,2,21,1,A ,-2,-2,-2,1,1,1,1,2,4,-2,-2,-2,-2,-2,-2,-2,-2,10,40,2,1,1,STVT-AAI Education Inc.,300070,38060,1,429,4013,Maricopa County,407,-112.157344,33.537249,217,2
71,104090,Brookline College-Phoenix, ,"2445 W. Dunlap Ave., Ste. 100",Phoenix,AZ,85021,4,6,Debra Brooks,Vice President of Student Financial Services,8888751353,141991211,R5UXLS53GLN5,02218800,1,www.brooklinecollege.edu/,brooklinecollege.edu/admissions/,brooklinecollege.edu/financial-aid/,https://brooklinecollege.edu/application/,https://enroll-brookline.educationpartners.com/Npc?NULL=NULL#NULLx,www.brooklinecollege.edu/resources/college-catalog/, ,www.brooklinecollege.edu/resources/college-catalog/,3,1,3,7,1,1,20,1,2,2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,2,3,26,18,3,11,3,9,26,22,23,40,2,1,1,"Brookline College, LLC",300620,38060,1,429,4013,Maricopa County,409,-112.112473,33.566102,156,2
